0.11 -15.4124 -15.2751 -15.2542 -15.249 -15.2336 -15.2322 -15.2227 -15.2045 -15.194 -15.1868 -11.2084 -9.4389 -6.6577 -6.6105 -2.9437 -1.2203 2.0495 2.994 3.7614 4.0396 4.8118 4.8127 5.1393 5.5947 5.645 6.0201 6.234 6.2394 10.5259 10.8613 11.0671 12.261 12.3871 12.4636 15.8684 15.9376 16.0386 16.8506 18.0935 18.2274 18.6247 19.6459 20.3537 21.0268 21.0886 
0.12 -15.4111 -15.2864 -15.253 -15.2464 -15.2307 -15.2288 -15.2225 -15.2054 -15.194 -15.188 -11.1349 -9.4774 -6.6335 -6.5851 -2.9752 -1.3449 2.017 3.1108 3.6375 3.8884 4.7868 4.8406 5.1035 5.6155 5.6536 6.0279 6.221 6.2586 10.4494 11.0334 11.1957 12.2646 12.3287 12.3888 15.9535 15.9648 16.0219 17.0863 18.0434 18.1639 18.6738 19.8004 20.3797 21.0842 21.0962 
0.13 -15.4101 -15.2979 -15.2516 -15.2434 -15.2279 -15.2253 -15.2225 -15.2062 -15.1939 -15.1892 -11.0574 -9.5169 -6.6087 -6.5596 -3.0047 -1.4733 1.9858 3.229 3.516 3.7457 4.7693 4.8766 5.0733 5.6235 5.6719 6.0239 6.1949 6.2496 10.3851 11.211 11.3038 12.1414 12.3534 12.3965 15.8891 15.9776 16.1648 17.3362 17.8622 18.2502 18.7433 19.9641 20.3959 20.8761 21.1937 
0.14 -15.4094 -15.3094 -15.2502 -15.2399 -15.225 -15.2227 -15.2217 -15.2067 -15.1938 -15.1905 -10.9765 -9.557 -6.5837 -6.5345 -3.0316 -1.6047 1.9572 3.3456 3.3978 3.6138 4.759 4.9184 5.0511 5.6219 5.6968 6.0039 6.1591 6.2119 10.3401 11.3846 11.3861 12.0174 12.3629 12.4638 15.8174 16.0102 16.2961 17.5987 17.6909 18.3486 18.831 20.1198 20.4059 20.675 21.3179 
0.15 -15.4091 -15.3208 -15.2487 -15.2359 -15.2233 -15.2222 -15.2181 -15.207 -15.1937 -15.1917 -10.893 -9.5971 -6.5588 -6.5102 -3.0554 -1.738 1.9325 3.2836 3.4573 3.4946 4.7542 4.9643 5.0398 5.6157 5.7238 5.9605 6.1219 6.1471 10.3145 11.4445 11.5501 11.8928 12.4141 12.5298 15.7542 16.0504 16.4153 17.5355 17.8719 18.4557 18.9331 20.2363 20.4333 20.4957 21.4504 
0.16 -15.4091 -15.332 -15.2473 -15.2316 -15.2242 -15.2195 -15.2144 -15.207 -15.1936 -15.1929 -10.8076 -9.6369 -6.5344 -6.4871 -3.0758 -1.8722 1.913 3.174 3.3896 3.5601 4.7523 5.0123 5.0427 5.6071 5.7511 5.889 6.0584 6.0905 10.306 11.4879 11.7039 11.7679 12.4957 12.594 15.7028 16.0969 16.5228 17.4011 18.154 18.5684 19.0452 20.2687 20.3465 20.5199 21.5509 
0.17 -15.4094 -15.3428 -15.2459 -15.2269 -15.2253 -15.2169 -15.2108 -15.2068 -15.194 -15.1934 -10.721 -9.6759 -6.5106 -6.4654 -3.0927 -2.0061 1.9 3.0695 3.3002 3.6504 4.7497 5.0593 5.0627 5.5967 5.7781 5.7951 5.9512 6.0643 10.3111 11.5263 11.6432 11.8427 12.5934 12.6558 15.6659 16.1474 16.6191 17.2917 18.4428 18.6842 19.162 20.2347 20.2462 20.6359 21.5744 
0.18 -15.4099 -15.3532 -15.2445 -15.2266 -15.222 -15.2144 -15.2073 -15.2064 -15.1949 -15.1932 -10.6342 -9.7138 -6.4877 -6.4453 -3.106 -2.1386 1.8945 2.9708 3.2272 3.725 4.741 5.1003 5.1019 5.5852 5.6894 5.8046 5.8336 6.0401 10.3261 11.5192 11.5668 11.9633 12.6953 12.7147 15.6456 16.1995 16.7052 17.2099 18.7361 18.8014 19.2782 20.1657 20.2032 20.7473 21.6003 
0.19 -15.4107 -15.3631 -15.2433 -15.2281 -15.217 -15.2121 -15.2059 -15.204 -15.1957 -15.193 -10.5481 -9.7501 -6.466 -6.4272 -3.1159 -2.2685 1.8977 2.8783 3.1715 3.7822 4.7185 5.1257 5.1608 5.5731 5.5841 5.7182 5.8301 6.0161 10.3475 11.3966 11.6128 12.0627 12.7703 12.7929 15.6442 16.2505 16.7819 17.1565 18.9202 19.0312 19.3892 20.1423 20.1502 20.843 21.6315 
0.2 -15.4117 -15.3724 -15.2422 -15.2296 -15.2119 -15.2099 -15.2053 -15.201 -15.1963 -15.1926 -10.4637 -9.7846 -6.4457 -6.411 -3.1227 -2.3945 1.9104 2.7925 3.1333 3.8225 4.6726 5.1172 5.2376 5.4927 5.5607 5.6261 5.8544 5.9916 10.3721 11.2763 11.6651 12.1391 12.8222 12.8803 15.6632 16.2981 16.8498 17.1299 19.0434 19.3255 19.4916 20.0923 20.1631 20.9173 21.6682 
0.21 -15.4112 -15.3701 -15.2425 -15.2293 -15.2141 -15.2095 -15.2063 -15.2011 -15.1961 -15.1927 -10.4831 -9.7791 -6.4506 -6.415 -3.1181 -2.3652 1.9087 2.7961 3.1616 3.8123 4.6902 5.1242 5.2179 5.5145 5.5623 5.6472 5.8433 5.9969 10.3708 11.3025 11.6549 12.118 12.8108 12.859 15.6581 16.2815 16.8298 17.1278 19.0123 19.2589 19.4726 20.1018 20.1559 20.8943 21.62 
